# LSST Y10 lens curves; original Fisher._makeLensPZ convention
# Reference: https://arxiv.org/abs/2507.01374 Figure 3
# Source: fisherA2Z/data/nzdist.txt, dneff column
# Original 40-point parent integration; dense Gaussian evaluation and normalization
# Raw n_i(z), NOT unit-integral PDFs and NOT galaxies/arcmin^2/z
# Z_MID	BIN1	BIN2	BIN3	BIN4	BIN5	BIN6	BIN7	BIN8	BIN9	BIN10
8.200000000000e-02	1.362918123210e-04	1.781970148071e-09	1.900676394028e-15	6.623846688670e-22	1.603704304507e-28	3.941527500588e-35	1.098039709559e-41	6.822474591391e-48	5.678877569336e-54	9.428683455724e-60
8.300000000000e-02	1.535320556770e-04	2.097622315545e-09	2.308096266934e-15	8.222598172120e-22	2.021672548510e-28	5.021582933664e-35	1.408738460162e-41	8.790841593702e-48	7.334239470016e-54	1.218677845781e-59
8.400000000000e-02	1.728301597960e-04	2.467683126602e-09	2.801367875060e-15	1.020250954362e-21	2.547534582240e-28	6.395273925180e-35	1.806765143602e-41	1.132379708818e-47	9.469626321560e-54	1.574789046357e-59
8.500000000000e-02	1.944156253062e-04	2.901260431984e-09	3.398261985242e-15	1.265330856687e-21	3.208869958275e-28	8.141793728884e-35	2.316498600861e-41	1.458232588698e-47	1.222350552495e-53	2.034470809666e-59
8.600000000000e-02	2.185415253098e-04	3.408939276849e-09	4.120159779875e-15	1.568557108488e-21	4.040237558562e-28	1.036152006953e-34	2.969076500805e-41	1.877304051811e-47	1.577407422911e-53	2.627702227931e-59
8.700000000000e-02	2.454866852010e-04	4.003013383405e-09	4.992772150825e-15	1.943550002852e-21	5.084923702054e-28	1.318163502024e-34	3.804256049776e-41	2.416103487025e-47	2.035059740927e-53	3.393098319628e-59
8.800000000000e-02	2.755580366863e-04	4.697751561773e-09	6.046999375285e-15	2.407078471498e-21	6.397123500356e-28	1.676322311118e-34	4.872783309149e-41	3.108633648372e-47	2.624796396303e-53	4.380385649177e-59
8.900000000000e-02	3.090931569702e-04	5.509704102223e-09	7.319957982131e-15	2.979778112462e-21	8.044661679338e-28	2.131023313673e-34	6.239409137472e-41	3.998495870298e-47	3.384536912931e-53	5.653584132605e-59
9.000000000000e-02	3.464630044492e-04	6.458054899035e-09	8.856206620306e-15	3.687030667030e-21	1.011238483738e-27	2.708078875617e-34	7.986726950285e-41	5.141583069587e-47	4.363028647520e-53	7.295095471503e-59
9.100000000000e-02	3.880748626111e-04	7.565025844357e-09	1.070920865471e-14	4.560040721338e-21	1.270638903643e-27	3.440145812813e-34	1.022005460588e-40	6.609523616085e-47	5.622921878507e-53	9.410955264400e-59
9.200000000000e-02	4.343755041697e-04	8.856340920759e-09	1.294307620162e-14	5.637153216136e-21	1.595928618237e-27	4.368524995766e-34	1.307364241606e-40	8.494084113220e-47	7.244713416812e-53	1.213757835649e-58
9.300000000000e-02	4.858545877630e-04	1.036175842602e-08	1.563464856440e-14	6.965464833775e-21	2.003676165088e-27	5.545430056881e-34	1.671856487808e-40	1.091279640216e-46	9.331802676330e-53	1.565041985110e-58
9.400000000000e-02	5.430482997998e-04	1.211568089697e-08	1.887596776260e-14	8.602793848993e-21	2.514573627983e-27	7.036846408256e-34	2.137274943356e-40	1.401614704115e-46	1.201697226930e-52	2.017509310152e-58
9.500000000000e-02	6.065432542593e-04	1.415785357593e-08	2.277722532450e-14	1.062008700768e-20	3.154452092274e-27	8.926132815233e-34	2.731371669224e-40	1.799676036994e-46	1.547069223675e-52	2.600163818997e-58
9.600000000000e-02	6.769806634080e-04	1.653416370106e-08	2.747026803733e-14	1.310435895232e-20	3.955544462256e-27	1.131855668304e-33	3.489475981267e-40	2.310112445366e-46	1.991175820998e-52	3.350282915568e-58
9.700000000000e-02	7.550607925080e-04	1.929755451848e-08	3.311276627774e-14	1.616228026778e-20	4.958055228577e-27	1.434700297988e-33	4.456548456224e-40	2.964455957201e-46	2.562091578124e-52	4.315765740109e-58
9.800000000000e-02	8.415477116250e-04	2.250906973170e-08	3.989316729271e-14	1.992455512826e-20	6.212110964295e-27	1.817915781183e-33	5.689787664285e-40	3.803032018623e-46	3.295830462164e-52	5.558144740595e-58
9.900000000000e-02	9.372743576140e-04	2.623904614390e-08	4.803657785260e-14	2.455125969171e-20	7.780182858556e-27	2.302654416905e-33	7.261937260469e-40	4.877396452660e-46	4.238578722304e-52	7.156446841771e-58
1.000000000000e-01	1.043147919241e-03	3.056847453837e-08	5.781174662104e-14	3.023834890343e-20	9.740094243466e-27	2.915588313003e-33	9.265480201168e-40	6.253443510821e-46	5.449552231430e-52	9.212142679707e-58
1.010000000000e-01	1.160155558189e-03	3.559055140803e-08	6.953934704054e-14	3.722558354948e-20	1.218875278738e-26	3.690337364566e-33	1.181795627997e-39	8.015368637028e-46	7.004651952165e-52	1.185548896082e-57
1.020000000000e-01	1.289370478391e-03	4.141244701903e-08	8.360179728758e-14	4.580618282435e-20	1.524677998989e-26	4.669263391827e-33	1.506870158477e-39	1.027071947642e-45	9.001139199364e-52	1.525365409427e-57
