# Z_MID      BIN1       BIN2       BIN3       BIN4       BIN5       BIN6
2.47500000e+00 1.58019289e-04 4.20672917e-05 1.10063605e-04 5.01739421e-05 8.51760116e-05 1.20359171e-03
2.52500000e+00 1.07279003e-04 3.65179942e-05 2.54619580e-05 3.72127975e-05 8.58653099e-06 9.22469289e-04
2.57500000e+00 2.98817926e-04 8.66761649e-05 5.17624195e-05 5.58405638e-05 0.00000000e+00 1.18183262e-03
2.62500000e+00 1.50620590e-04 1.29371057e-04 6.60856583e-05 1.82646455e-05 8.83302493e-05 1.43267503e-03
2.67500000e+00 3.15572440e-05 5.93863591e-05 9.75053701e-05 0.00000000e+00 1.86694325e-05 2.50249942e-04
2.72500000e+00 1.23346508e-04 1.17612686e-05 3.28543777e-05 2.06430747e-06 0.00000000e+00 5.00269362e-05
2.77500000e+00 6.11962941e-05 8.72242407e-05 1.92221849e-05 0.00000000e+00 0.00000000e+00 1.87632765e-04
2.82500000e+00 2.46533418e-05 8.42230669e-05 4.62396914e-05 4.96478081e-06 0.00000000e+00 9.90046594e-06
2.87500000e+00 2.07923868e-04 1.42074748e-04 9.22068307e-06 0.00000000e+00 0.00000000e+00 1.69852706e-04
2.92500000e+00 3.72319162e-05 2.22141571e-05 6.07978976e-05 0.00000000e+00 0.00000000e+00 7.08337340e-05
2.97500000e+00 7.65873292e-05 4.68529169e-05 0.00000000e+00 0.00000000e+00 0.00000000e+00 2.59944063e-05
3.02500000e+00 4.05988584e-05 2.70906436e-05 3.89012159e-05 0.00000000e+00 0.00000000e+00 5.56745986e-05
3.07500000e+00 4.99858167e-05 1.08893418e-06 0.00000000e+00 2.00488140e-05 5.37577549e-06 9.38058179e-05
3.12500000e+00 1.10200446e-05 1.84367779e-05 3.41481841e-06 0.00000000e+00 0.00000000e+00 0.00000000e+00
3.17500000e+00 7.10776319e-06 1.16988947e-05 1.83793633e-04 0.00000000e+00 0.00000000e+00 4.15931892e-05
3.22500000e+00 4.69734519e-05 0.00000000e+00 3.10800663e-06 0.00000000e+00 0.00000000e+00 0.00000000e+00
3.27500000e+00 4.43610971e-05 3.84746758e-05 7.19635004e-06 0.00000000e+00 0.00000000e+00 0.00000000e+00
3.32500000e+00 2.28379723e-05 1.28122435e-05 7.51707810e-06 0.00000000e+00 0.00000000e+00 0.00000000e+00
3.37500000e+00 3.17947900e-05 5.45737993e-05 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
3.42500000e+00 3.08938146e-06 5.70723024e-07 7.20515595e-06 0.00000000e+00 0.00000000e+00 0.00000000e+00
3.47500000e+00 2.90119119e-06 4.33539258e-06 3.80798788e-05 0.00000000e+00 0.00000000e+00 3.98425773e-05
3.52500000e+00 1.92266448e-05 3.05342299e-05 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.09185898e-05
3.57500000e+00 0.00000000e+00 0.00000000e+00 2.11219206e-05 0.00000000e+00 0.00000000e+00 0.00000000e+00
3.62500000e+00 2.93444337e-06 3.55064422e-06 0.00000000e+00 0.00000000e+00 0.00000000e+00 2.46739208e-07
3.67500000e+00 0.00000000e+00 7.26383966e-06 0.00000000e+00 3.08226709e-06 0.00000000e+00 0.00000000e+00
3.72500000e+00 3.05535667e-06 7.29084824e-06 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
3.77500000e+00 0.00000000e+00 9.87446621e-06 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
3.82500000e+00 1.10505508e-05 1.92771864e-05 7.29714737e-06 0.00000000e+00 0.00000000e+00 0.00000000e+00
3.87500000e+00 1.05863434e-07 6.83271866e-06 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
3.92500000e+00 0.00000000e+00 0.00000000e+00 3.65689776e-06 0.00000000e+00 0.00000000e+00 0.00000000e+00
